genome_fasta,cluster,super_cluster,rep_cluster,rep_genome,dataset,bai_gene_cluster
XieH_2016__YSZC12003_37205__bin.63.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37208R1__bin.90.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37228__bin.66.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37233__bin.86.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37276__bin.35.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37314__bin.62.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37322__bin.54.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37332__bin.19.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37462__bin.29.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37543__bin.14.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37544__bin.17.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37546__bin.14.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37583__bin.71.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37584__bin.49.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37753__bin.55.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37754__bin.49.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37878__bin.67.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
XieH_2016__YSZC12003_37880__bin.69.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI003410-3__bin.17.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI003414-3__bin.1.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI003425-1__bin.40.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI003435-11__bin.55.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015221-142__bin.26.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015222-123__bin.41.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015223-158__bin.24.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015227-13__bin.20.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015234-20__bin.27.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015244-32__bin.31.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015248-36__bin.30.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015250-39__bin.40.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015253-44__bin.13.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015260-74__bin.43.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015262-79__bin.51.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015263-84__bin.2.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015264-87__bin.61.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015268-109__bin.41.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI015274-111__bin.2.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI017456-23__bin.8.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI017460-27__bin.24.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI017462-33__bin.61.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
YuJ_2015__SZAXPI017466-84__bin.48.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_DietIntervention_35__bin.72.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_101__bin.15.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_117__bin.8.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_127__bin.15.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_158__bin.63.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_163__bin.6.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_166__bin.17.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_18__bin.7.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_182__bin.10.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_198__bin.52.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_23__bin.72.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_234__bin.36.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_243__bin.32.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_244__bin.23.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_248__bin.7.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_25__bin.64.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_26__bin.4.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_286__bin.24.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_291__bin.4.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_30__bin.13.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_309__bin.50.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_339__bin.28.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_348__bin.10.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_35__bin.11.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_374__bin.37.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_396__bin.10.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_40__bin.7.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_406__bin.5.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_414__bin.30.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_429__bin.7.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_431__bin.28.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_433__bin.47.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_437__bin.20.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_469__bin.10.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_470__bin.61.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_478__bin.31.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_484__bin.18.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_493__bin.16.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_497__bin.8.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_498__bin.23.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_513__bin.5.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_52__bin.7.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_521__bin.4.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_530__bin.21.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_547__bin.55.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_548__bin.46.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_556__bin.32.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_56__bin.7.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_566__bin.14.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_574__bin.6.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_586__bin.8.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_60__bin.53.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_610__bin.2.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_62__bin.71.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_627__bin.62.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_635__bin.9.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_637__bin.9.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_65__bin.34.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_651__bin.15.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_652__bin.9.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_671__bin.9.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_673__bin.27.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_680__bin.10.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_681__bin.1.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_682__bin.32.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_684__bin.23.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_691__bin.19.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_695__bin.16.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_697__bin.1.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_699__bin.20.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_702__bin.34.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_705__bin.30.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_706__bin.93.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_707__bin.40.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_713__bin.34.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_720__bin.28.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_722__bin.23.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_730__bin.3.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_762__bin.22.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_785__bin.9.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_83__bin.4.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_86__bin.37.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_87__bin.48.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Main_9__bin.51.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_13__bin.74.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_18__bin.48.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_20__bin.27.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_25__bin.12.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_3__bin.15.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_33__bin.14.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_35__bin.32.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_41__bin.49.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_45__bin.16.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_49__bin.71.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_65__bin.16.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_66__bin.22.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_67__bin.17.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_70__bin.45.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_73__bin.25.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_76__bin.32.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZeeviD_2015__PNP_Validation_95__bin.14.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__CCIS07277498ST-4-0__bin.57.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__CCIS45793747ST-4-0__bin.3.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__CCIS47745468ST-4-0__bin.27.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__CCIS77252613ST-4-0__bin.56.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__CCIS90443472ST-4-0__bin.49.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__CCIS91228662ST-4-0__bin.21.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__CCMD11006829ST-21-0__bin.37.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__CCMD26925580ST-21-0__bin.18.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__CCMD34381688ST-21-0__bin.46.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__CCMD35802077ST-21-0__bin.13.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__CCMD45988061ST-21-0__bin.55.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__CCMD48236717ST-21-0__bin.41.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__CCMD72895164ST-21-0__bin.11.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__CCMD87156761ST-21-0__bin.73.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ZellerG_2014__MMPU99077057ST__bin.44.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
BackhedF_2015__SID385_M__bin.40.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.71.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES16__bin.70.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.65.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.189.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.124.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES4__bin.60.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES46__bin.91.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES50__bin.152.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.11.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.64.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
BritoIL_2016__M1.1.ST__bin.23.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
BritoIL_2016__M1.44.ST__bin.10.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
BritoIL_2016__W1.2.ST__bin.37.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
BritoIL_2016__W2.43.ST__bin.4.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
BritoIL_2016__W2.44.ST__bin.90.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
BritoIL_2016__W2.67.ST__bin.58.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
BritoIL_2016__WL.14.ST__bin.20.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
CM_madagascar__A32_01_1FE__bin.49.fa,Pasolli_15244,18,Pasolli_15244,CosteaPI_2017__SID713A074-11-90-0__bin.3.fa,Pasolli,7
